solution_id,source_id,teff,azero,logg,mh,ag,mg,distancepc,abp,arp,ebpminrp,log_pos,log_lik,radius
8013174454444875809,4421573379883544704,4177.719,1.0465957,1.0622054,-0.2802968,0.7544247,-3.7126608,7559.6577,1.0012447,0.60585344,0.39539123,-1340.2338,-1027.1342,109.07554
8013174454444875809,4421573379883544704,4195.403,1.0769417,1.0700711,-0.31030992,0.7771813,-3.7208347,7507.687,1.0312691,0.62353784,0.40773124,-1337.6707,-1021.6515,108.06842
8013174454444875809,4421573379883544704,4194.456,1.0743082,1.0782077,-0.29474154,0.77522606,-3.6992228,7440.4946,1.0285815,0.6220332,0.40654832,-1340.9764,-1027.021,107.06966
8013174454444875809,4421573379883544704,4201.8867,1.088893,1.0747418,-0.31756246,0.7861086,-3.7197418,7472.0996,1.04304,0.63050103,0.412539,-1340.5823,-1023.92053,107.489105
8013174454444875809,4421573379883544704,4194.484,1.0760343,1.0676926,-0.31365767,0.7764807,-3.725681,7527.604,1.030391,0.622995,0.40739596,-1336.5863,-1020.1639,108.392715
8013174454444875809,4421573379883544704,4191.641,1.0702832,1.0638391,-0.3130726,0.7722144,-3.7307458,7559.4834,1.0247719,0.61964524,0.4051267,-1334.6377,-1018.19586,108.86837
8013174454444875809,4421573379883544704,4190.182,1.0680091,1.062716,-0.31268615,0.7705041,-3.7314038,7568.6562,1.022534,0.61831474,0.40421927,-1333.8817,-1017.5092,109.03016
8013174454444875809,4421573379883544704,4189.4463,1.0653276,1.0752028,-0.29065964,0.76852167,-3.6989303,7463.158,1.0197608,0.61679596,0.4029649,-1339.508,-1026.1752,107.45772
8013174454444875809,4421573379883544704,4175.177,1.0420554,1.0576122,-0.2829013,0.751052,-3.7198098,7596.179,0.9968316,0.6032011,0.3936305,-1337.8867,-1024.5197,109.64619
8013174454444875809,4421573379883544704,4179.3184,1.0490882,1.0644346,-0.2812429,0.7563016,-3.7093453,7542.243,1.0037066,0.60731053,0.39639604,-1340.083,-1027.056,108.78968
8013174454444875809,4421573379883544704,4172.173,1.0369347,1.0548316,-0.28064016,0.7472263,-3.7218025,7616.682,0.99179924,0.6002145,0.39158475,-1337.822,-1024.6855,109.996826
8013174454444875809,4421573379883544704,4190.769,1.0671947,1.0620621,-0.31438833,0.76998234,-3.7338688,7577.682,1.0218129,0.61785686,0.40395606,-1333.2556,-1016.78656,109.09757
8013174454444875809,4421573379883544704,4199.108,1.0836886,1.0732038,-0.31468788,0.7822291,-3.719183,7484.5103,1.0379229,0.6274703,0.41045254,-1338.9514,-1022.6289,107.697136
8013174454444875809,4421573379883544704,4189.1704,1.0649328,1.0725912,-0.2909258,0.7682141,-3.7047129,7483.935,1.0193585,0.6165637,0.40279484,-1340.0029,-1026.2274,107.76325
