g_id,designation,source_id,dist50,av50,ag50,teff50,logg50,met50,mass50,fidelity
4420701574533247744,Gaia DR3 4420701574533247744,4420701574533247744,0.47215852,0.26206392,0.22585328,5882.416,4.339458,-0.1760301,0.92906094,1
4420701604597395456,Gaia DR3 4420701604597395456,4420701604597395456,2.7187428,0.17042781,0.14408933,5064.869,4.5991373,-0.4015674,0.735,0.99658203
4420701742036349696,Gaia DR3 4420701742036349696,4420701742036349696,1.6454176,0.34850642,0.29241022,4989.377,4.7019963,-1.078875,0.6,1
4420701742036352640,Gaia DR3 4420701742036352640,4420701742036352640,2.429765,0.2835009,0.2414812,5466.6523,4.537601,-0.47971407,0.7394992,1
4420701948194771200,Gaia DR3 4420701948194771200,4420701948194771200,10.180297,0.08319323,0.07213708,5898.8335,3.841177,-1.5640649,0.789,0.9941406
4420702124289066496,Gaia DR3 4420702124289066496,4420702124289066496,0.4571467,0.27960283,0.2375371,5365.0996,4.568337,-0.36860144,0.75399154,1
4420702193008543872,Gaia DR3 4420702193008543872,4420702193008543872,2.3475964,0.0118043525,0.010261897,5910.059,4.068902,-0.46804065,0.8884889,1
4420702227368284032,Gaia DR3 4420702227368284032,4420702227368284032,0.49498564,0.39436197,0.32368442,4265.0054,4.6300926,0.18766776,0.7,1
4420702296087761920,Gaia DR3 4420702296087761920,4420702296087761920,2.0185661,0.18941237,0.16322346,5791.107,4.1376076,-0.2551428,0.9448265,1
4420702497950599552,Gaia DR3 4420702497950599552,4420702497950599552,8.009099,0.15139268,0.12855479,5201.0244,3.5488627,-0.66464925,0.7960719,1
4420702605325405440,Gaia DR3 4420702605325405440,4420702605325405440,2.6248748,0.2848865,0.24350362,5597.4805,4.545363,-0.86465544,0.70831895,1
4420702777124098560,Gaia DR3 4420702777124098560,4420702777124098560,1.6225195,0.28302673,0.23514487,4568.725,4.6105514,-0.042968433,0.70039535,0.9482422
4420702807188252288,Gaia DR3 4420702807188252288,4420702807188252288,2.7979357,0.051479727,0.044702653,5915.3247,4.407343,-0.73417413,0.79493964,0.9995117
4420702914563053056,Gaia DR3 4420702914563053056,4420702914563053056,7.8981986,0.3045528,0.2559351,4997.233,2.406,-0.49499026,0.8543845,1
4420702948922791040,Gaia DR3 4420702948922791040,4420702948922791040,2.0149868,0.14260562,0.1215904,5340.5537,4.581364,-0.46251625,0.7313949,0.99121094
4420702983282529920,Gaia DR3 4420702983282529920,4420702983282529920,0.29191718,0.026138742,0.02130615,3661.0022,4.804,-0.2966534,0.455,1
4420703017642268544,Gaia DR3 4420703017642268544,4420703017642268544,10.538306,0.014018285,0.012929694,8351.554,3.2578044,-2.0321853,0.729,0.9995117
4420703047706411264,Gaia DR3 4420703047706411264,4420703047706411264,1.1195375,0.23877518,0.19481224,3903.1812,4.6460476,0.16522908,0.6270648,0.7998047
4420703356944067968,Gaia DR3 4420703356944067968,4420703356944067968,0.5646371,0.011014465,0.008947398,3535.0496,4.711,0.101062864,0.54201186,1
4420703395599385984,Gaia DR3 4420703395599385984,4420703395599385984,0.47183624,0.3233074,0.26666442,4358.929,4.637932,-0.10397644,0.65,1
4420703494386726272,Gaia DR3 4420703494386726272,4420703494386726272,2.41339,0.22962266,0.19958417,6170.162,4.0978584,-0.8026588,0.872665,0.9995117
4420703528742763392,Gaia DR3 4420703528742763392,4420703528742763392,5.469675,0.24575597,0.21445534,6345.3345,4.308464,-1.7867349,0.746,0.9941406
4420703739196766976,Gaia DR3 4420703739196766976,4420703739196766976,3.7796197,0.12384598,0.106454104,5618.501,3.850852,-0.6904524,0.94310355,1
4420703773556504320,Gaia DR3 4420703773556504320,4420703773556504320,0.24564765,-0.030605381,-0.024700103,3286.2454,4.86,0.10140351,0.4,1
4420703807916243968,Gaia DR3 4420703807916243968,4420703807916243968,1.3934424,0.29679444,0.25568703,5909.789,4.4401474,-0.5869426,0.8122226,1
4420703807916244352,Gaia DR3 4420703807916244352,4420703807916244352,1.5238646,0.20811045,0.17697503,5319.1284,3.7406797,-0.55370057,0.8531989,0.97558594
4420704014074676864,Gaia DR3 4420704014074676864,4420704014074676864,0.7237402,0.11454273,0.09351555,3800.9985,4.709,-0.10423475,0.55,1
4420704082794154496,Gaia DR3 4420704082794154496,4420704082794154496,1.4021314,0.31297573,0.27091965,6113.861,4.126955,-0.6345491,0.88745195,1
4420704151513631104,Gaia DR3 4420704151513631104,4420704151513631104,1.3588622,0.30446205,0.2632653,6061.521,4.0220428,-0.6990219,0.8836297,0.9995117
4420704185873369984,Gaia DR3 4420704185873369984,4420704185873369984,3.2227774,0.14674324,0.12733382,6003.7275,4.439161,-0.77664226,0.7947373,0.9975586
4420704392031802624,Gaia DR3 4420704392031802624,4420704392031802624,1.7448603,0.18128338,0.1589052,6440.722,3.9888813,-0.37103775,1.1705984,1
4420704392031821568,Gaia DR3 4420704392031821568,4420704392031821568,1.7380277,0.35748148,0.3047879,5588.9,4.4784193,-0.26050884,0.8392327,1
4420704460751279872,Gaia DR3 4420704460751279872,4420704460751279872,1.370028,0.11376048,0.09795757,5672.5776,4.502721,-0.2721807,0.8260702,1
4420704525175243648,Gaia DR3 4420704525175243648,4420704525175243648,3.9940162,0.197687,0.16776538,5231.939,3.5990808,-0.43671665,0.9081483,1
4420704666909710336,Gaia DR3 4420704666909710336,4420704666909710336,0.66038746,0.26272866,0.22669244,5928.137,4.492633,-0.45077723,0.87874216,1
4420704731333612928,Gaia DR3 4420704731333612928,4420704731333612928,0.6083891,0.31934434,0.25727326,3565.3323,4.700483,0.19943976,0.551,1
4420704735629184128,Gaia DR3 4420704735629184128,4420704735629184128,0.9814072,0.17537351,0.15243678,6104.4385,4.1945333,-0.58235914,0.9284396,1
4420704800053134336,Gaia DR3 4420704800053134336,4420704800053134336,1.1719824,0.41672483,0.34402087,4488.4873,4.6178946,0.20541528,0.740411,1
4420704804348662528,Gaia DR3 4420704804348662528,4420704804348662528,0.7973613,0.34362406,0.295534,5902.221,4.416988,-0.68648195,0.78007376,1
4420704804348662656,Gaia DR3 4420704804348662656,4420704804348662656,1.3273903,0.23093212,0.20071155,6169.698,4.3060164,-0.9217143,0.78775984,1
4420704971851783808,Gaia DR3 4420704971851783808,4420704971851783808,6.199518,0.35193476,0.3014203,5753.0747,3.960634,-0.38005874,0.923817,0.9550781
4420705040571261952,Gaia DR3 4420705040571261952,4420705040571261952,6.0980587,0.21064517,0.1851314,6583.31,4.287504,-1.8548146,0.789645,1
4420705212369954688,Gaia DR3 4420705212369954688,4420705212369954688,8.898665,0.320066,0.280576,6621.0874,4.1026745,-1.3043026,0.88301516,0.99902344
4420705216665524608,Gaia DR3 4420705216665524608,4420705216665524608,0.45755702,0.31698525,0.265577,4902.3013,4.618,-0.3526625,0.686,1
4420794689424142080,Gaia DR3 4420794689424142080,4420794689424142080,0.90752274,-0.05721592,-0.048838407,5153.177,3.8391821,-0.085321434,1.0065262,1
4420794689424142208,Gaia DR3 4420794689424142208,4420794689424142208,0.98608756,0.28918013,0.24358538,5064.384,4.654332,-0.7362329,0.6423165,1
4420797610001897344,Gaia DR3 4420797610001897344,4420797610001897344,0.9906967,0.50999117,0.42130318,4612.2173,4.4392724,0.010829475,0.8982453,1
4420797610001897472,Gaia DR3 4420797610001897472,4420797610001897472,0.8327017,0.29076022,0.25042418,5892.655,4.351499,-0.063535266,0.9441825,1
4420797880583896320,Gaia DR3 4420797880583896320,4420797880583896320,3.8872044,0.27822855,0.23863077,5718.7354,4.4851627,-0.50408125,0.7963875,0.99072266
4420797914943731200,Gaia DR3 4420797914943731200,4420797914943731200,2.728144,0.12559126,0.10820609,5707.847,4.438411,-0.32920977,0.8460504,0.9995117
4420797919239542912,Gaia DR3 4420797919239542912,4420797919239542912,8.87485,0.006560309,0.0056288405,5414.5107,3.4794335,-1.0958856,0.83379585,1
4420797987959019776,Gaia DR3 4420797987959019776,4420797987959019776,1.8758003,0.2221446,0.19067197,5680.4185,3.876276,-0.5368083,0.9133255,1
4420798022318764416,Gaia DR3 4420798022318764416,4420798022318764416,0.96241516,0.45925257,0.38717106,5288.104,4.602,-0.45247483,0.73457193,1
