source_id,solution_id,teff1,teff2,logg1,logg2,azero,mh,distancepc,log_pos,log_lik
4421573590334024704,8013174454512009251,5826.024,5695.715,4.539745,4.554737,0.20314899,-0.67920804,5741.134,-585.9677,-593.6842
4421573590334024704,8013174454512009251,5853.5728,5177.472,4.4849257,4.6778193,0.39337125,-0.849317,4824.1934,-588.34686,-589.82983
4421573590334024704,8013174454512009251,5951.334,5494.971,4.578981,4.458985,0.27071387,-0.9423294,5668.069,-587.8114,-589.7702
4421573590334024704,8013174454512009251,5693.117,5673.5605,4.3997746,4.586809,0.101270825,-0.68053555,5551.4106,-584.28394,-591.63776
4421573590334024704,8013174454512009251,5944.999,5717.0703,4.4994316,4.5430017,0.21927825,-0.85299116,5985.502,-584.0583,-588.2692
4421573590334024704,8013174454512009251,6121.0327,5193.519,4.361547,4.4767675,0.22066809,-0.965347,5920.689,-592.7599,-593.35376
4421573590334024704,8013174454512009251,6089.437,5750.3477,4.5611625,4.599223,0.28264314,-0.5862373,5830.318,-585.5495,-592.76904
4421573590334024704,8013174454512009251,5904.8354,5426.722,4.5370855,4.479178,0.38521716,-0.5190493,5360.186,-591.2159,-600.04987
4421573590334024704,8013174454512009251,6129.4766,5014.6196,4.6136827,4.842649,0.37585938,-0.9789529,4953.095,-588.67084,-585.3827
4421573590334024704,8013174454512009251,5977.795,5607.826,4.438071,4.4712443,0.14828387,-0.7353474,6099.7856,-590.8095,-597.15
4421573590334024704,8013174454512009251,5493.4844,5967.653,3.8701108,4.4291677,0.26272997,-0.68019295,8047.1177,-592.5218,-595.9332
4421573590334024704,8013174454512009251,6043.0566,5393.2773,4.5611005,4.645827,0.27077693,-0.87586963,5355.4443,-590.42584,-591.04425
4421573590334024704,8013174454512009251,5895.1187,5703.34,4.2904987,4.580948,0.26001123,-0.6991939,6206.799,-585.89197,-592.38293
4421573590334024704,8013174454512009251,5948.44,5158.271,4.482905,4.6832514,0.089986265,-0.5442494,5105.408,-591.11755,-598.0684
4421573590334024704,8013174454512009251,5751.9956,5613.152,4.6513715,4.5650425,0.21566173,-0.87678003,5014.2646,-584.7413,-588.66327
4421573590334024704,8013174454512009251,5951.6934,5138.368,4.615938,4.6970844,0.23508513,-0.96378994,4852.6865,-590.1584,-589.8432
4421573590334024704,8013174454512009251,5968.905,5388.146,4.5850105,4.3261366,0.35370913,-0.9823451,5879.9795,-587.6502,-586.6792
4421573590334024704,8013174454512009251,6066.344,5804.87,4.526911,4.457269,0.33764946,-0.48414072,6442.3755,-592.9256,-601.86346
4421573590334024704,8013174454512009251,6200.546,5303.2505,4.391501,4.2589087,0.34804434,-0.97373927,6887.405,-587.5986,-586.6459
4421573590334024704,8013174454512009251,6066.3906,5745.1885,4.6354175,4.5331726,0.34244862,-0.6980494,5843.4106,-585.54474,-591.1395
4421573590334024704,8013174454512009251,5807.605,4979.3335,4.2878284,4.3986444,0.39669797,-0.84805566,5581.6,-588.0688,-587.3233
4421573590334024704,8013174454512009251,5761.632,5925.882,4.19398,4.790988,0.16703331,-0.71530414,6406.634,-595.40466,-597.0778
4421573590334024704,8013174454512009251,6068.2095,5446.453,4.6566463,4.684929,0.37284037,-0.8358671,5067.3325,-590.5193,-590.5167
4421573590334024704,8013174454512009251,5936.3765,5538.881,4.5738206,4.6571665,0.31682974,-0.7268223,5410.4688,-589.8364,-595.3834
4421573590334024704,8013174454512009251,5762.062,5114.2866,4.41218,4.4990225,0.18329164,-0.87933576,5023.4062,-591.69666,-594.15283
4421573590334024704,8013174454512009251,5868.8403,5793.3076,4.572234,4.7263894,0.13246135,-0.8599258,5234.169,-593.313,-594.64105
4421573590334024704,8013174454512009251,5701.271,5407.33,4.607943,4.675056,0.089629054,-0.5248579,4487.6333,-590.8293,-598.29034
4421573590334024704,8013174454512009251,5706.5503,5453.736,4.5233293,4.598355,0.39339003,-0.79798657,4875.3354,-584.564,-589.0194
4421573590334024704,8013174454512009251,5697.8477,5320.593,4.519326,4.6181827,0.34591186,-0.8204342,4685.255,-587.3724,-591.048
4421573590334024704,8013174454512009251,5737.5293,5610.93,4.4201136,4.4861894,0.18582499,-0.7728637,5503.171,-588.6552,-594.3658
4421573590334024704,8013174454512009251,5852.631,5204.905,4.4153485,4.787436,0.07610515,-0.7559792,5071.7354,-592.53485,-595.77344
4421573590334024704,8013174454512009251,6103.44,5407.6597,4.549752,4.7128606,0.31639582,-0.5376256,5203.488,-589.6986,-594.32513
4421573590334024704,8013174454512009251,5733.5967,5661.041,4.5335116,4.5903673,0.18094571,-0.9521674,5250.6455,-579.3842,-581.42664
4421573590334024704,8013174454512009251,6021.9746,4961.834,4.550729,4.5736346,0.3530826,-0.5247935,4734.9863,-590.10944,-596.13165
4421573590334024704,8013174454512009251,5865.5903,5406.772,4.519718,4.758812,0.38261268,-0.92157626,5024.526,-588.43414,-587.9978
4421573590334024704,8013174454512009251,6075.2725,5440.0435,4.6146345,4.668252,0.28654835,-0.56865656,5017.2905,-591.34875,-596.0388
4421573590334024704,8013174454512009251,5812.887,4918.647,4.3948145,4.5033092,0.38936478,-0.7944058,4879.116,-589.3445,-592.2891
4421573590334024704,8013174454512009251,5991.3633,5595.5776,4.5090113,4.494488,0.11811368,-0.7316019,5704.9497,-590.9176,-595.48376
4421573590334024704,8013174454512009251,5627.0386,5613.327,4.4923167,4.5897965,0.12165369,-0.71371245,4822.2686,-592.49005,-599.61945
4421573590334024704,8013174454512009251,6041.05,5337.8745,4.5268145,4.7263603,0.2725214,-0.94022524,5212.1387,-591.1014,-588.1045
4421573590334024704,8013174454512009251,6070.9614,5454.6104,4.406223,4.8080482,0.38489115,-0.3673077,5705.012,-596.64886,-604.7946
4421573590334024704,8013174454512009251,5766.492,4936.8506,4.4254613,4.507059,0.13421518,-0.8159066,4591.6973,-588.87946,-591.6358
4421573590334024704,8013174454512009251,6132.741,5659.2573,4.6438894,4.666566,0.23319055,-0.43155673,5592.7246,-592.7716,-601.3596
4421573590334024704,8013174454512009251,5732.1113,5660.7363,4.5452003,4.502425,0.39097738,-0.86984223,5623.515,-580.9636,-584.9979
4421573590334024704,8013174454512009251,5694.3706,5664.8433,4.4758577,4.6034956,0.09525159,-0.63990086,5174.1704,-586.147,-594.64404
4421573590334024704,8013174454512009251,5874.8296,5131.1885,4.4983454,4.5453134,0.3971315,-0.6916746,4851.8633,-587.313,-592.69696
4421573590334024704,8013174454512009251,5695.1396,5105.705,4.594671,4.5365505,0.39183193,-0.65824884,4447.721,-580.14594,-586.2855
4421573590334024704,8013174454512009251,5962.4526,5725.337,4.521327,4.637011,0.2738334,-0.60857916,5811.7705,-585.1123,-593.4935
4421573590334024704,8013174454512009251,6100.0635,5454.9517,4.5969615,4.679517,0.3447196,-0.73284894,5336.348,-593.83813,-595.642
4421573590334024704,8013174454512009251,5702.4854,5269.314,4.5774937,4.663235,0.383474,-0.7581902,4546.744,-580.35266,-584.80414
4421573590334024704,8013174454512009251,5759.6265,5692.8047,4.4898553,4.6368685,0.05659665,-0.49834257,5180.671,-587.71155,-598.1715
4421573590334024704,8013174454512009251,5901.4395,5199.6357,4.447496,4.5159245,0.38859576,-0.82858574,5184.2925,-591.36346,-594.2151
4421573590334024704,8013174454512009251,5692.3857,5664.2524,4.6085343,4.617101,0.25333887,-0.63229996,4981.1626,-581.99664,-590.47864
4421573590334024704,8013174454512009251,5921.84,5577.3696,4.598472,4.5937943,0.25565547,-0.4778026,5214.895,-597.2106,-606.8907
4421573590334024704,8013174454512009251,5697.682,5104.7886,4.589316,4.5754204,0.35085624,-0.5992672,4379.494,-587.962,-595.0811
4421573590334024704,8013174454512009251,6088.1333,5462.71,4.5420074,4.571263,0.35231578,-0.7140614,5530.3613,-590.34393,-594.2257
4421573590334024704,8013174454512009251,5995.3184,5512.9526,4.556229,4.5685234,0.18919763,-0.777667,5449.74,-590.56195,-593.6804
4421573590334024704,8013174454512009251,5711.9976,5364.717,4.5344524,4.536316,0.12264587,-0.6616009,4748.5093,-591.4163,-598.5238
4421573590334024704,8013174454512009251,5693.5356,5675.6665,4.3831263,4.6216726,0.11604052,-0.87858635,5441.382,-584.4694,-587.8019
4421573590334024704,8013174454512009251,5703.4966,5552.4106,4.600103,4.497638,0.22882295,-0.8256192,5161.9395,-580.0135,-584.8702
4421573590334024704,8013174454512009251,5706.011,5132.0337,4.606148,4.573405,0.37830102,-0.6348493,4399.0986,-585.2931,-591.8758
4421573590334024704,8013174454512009251,5703.0425,5030.1343,4.5992227,4.526083,0.3815705,-0.77021176,4459.1143,-578.2886,-582.4888
4421573590334024704,8013174454512009251,6278.8267,5698.414,4.6449366,4.6184363,0.3832078,-0.9410434,5931.946,-580.8682,-580.8893
4421573590334024704,8013174454512009251,5711.8315,5536.4976,4.4593086,4.6333,0.18357664,-0.93582296,5140.0864,-588.38416,-590.18536
