source_id,designation,ra,dec,l,b,ref_epoch,parallax,parallax_error,pm,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,ruwe,phot_variable_flag,non_single_star,teff_gspphot,logg_gspphot,distance_gspphot,mh_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,astrometric_params_solved,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,alphafe_gspspec,mh_gspphot_1,fem_gspspec,distance,distance_error,true_distance_modulus,true_distance_modulus_error,ag_starhorse_mean,ag_starhorse_mean_error_std,ag_starhorse_mean_error_cl95,distance_modulus_starhorse,distance_modulus_starhorse_error_std,distance_modulus_starhorse_error_cl95,abs_phot_g_mean_mag,abs_phot_g_mean_mag_error,bcg_mag,bcg_mag_error,mbol_mag,mbol_mag_error,bcg_aprx_flag,Viaux13_Nr,Viaux13_I,fit_delta
4421573379883544704,Gaia DR3 4421573379883544704,229.64245570119203,2.106999987879549,3.891963565609348,46.80952748026538,2016.0,0.16294131686148677,0.0186769,10.704953,4.162093100492548,-9.862707311517124,11.415377,1.8849659,53.921722,1.1363192,VARIABLE,0,4205.6274,1.0882,7368.1133,-0.2888,1.0928,0.7891,0.414,31,1.3563344,nan,19.672324844248354,nan,-0.2888,nan,6.137178827700775,0.7128303158298657,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-3.1437503245551497,0.12507374832603005,-0.3213877497979358,5.17990020080239e-05,-3.4651380743530855,0.1250737590522477,False,2.0,10.363,-0.01893429377070044
4421572898847093632,Gaia DR3 4421572898847093632,229.63167802111093,2.0780585965917893,3.8491720891055095,46.79974542932727,2016.0,0.09019554755635903,0.01758533,10.393321,4.063985553878869,-9.565832454306003,11.509816,1.8451967,nan,1.0641925,VARIABLE,0,nan,nan,nan,nan,nan,nan,nan,31,1.3656856,nan,19.641541066445903,nan,nan,nan,11.08702177760101,2.247041375119298,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-3.0493113245551484,0.12507374832603005,-0.16483995906467586,0.29095477815417237,-3.2141512836198243,0.37522819884011915,True,3.0,10.42,0.07929546021640943
4421572142932870272,Gaia DR3 4421572142932870272,229.642799002493,2.0732596812165656,3.8539091356279473,46.78808241567432,2016.0,0.09908131493191345,0.01946239,10.515124,4.194801436706274,-9.642171476479287,11.522842,1.7663488,nan,1.2208247,VARIABLE,0,nan,nan,nan,nan,nan,nan,nan,31,1.3745826,nan,19.639965018608738,nan,nan,nan,10.092720314492984,2.062060320721593,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-3.0362853245551484,0.12507374832603005,-0.16448884013485499,0.29095477815417237,-3.2007741646900034,0.37522819884011915,True,0.0,nan,0.013196778684916245
4421573384179219840,Gaia DR3 4421573384179219840,229.65018256763994,2.1103797347714903,3.902886968440478,46.80563546036124,2016.0,0.057778779583695185,0.023955552,10.372731,3.853021585899321,-9.630564352947792,11.50889,2.038478,nan,1.5286393,VARIABLE,0,4702.323,1.1256,9193.638,-0.0117,1.9379,1.4069,0.7385,31,1.372607,nan,19.67768780860229,nan,-0.0117,nan,17.30739221570879,8.665360187086517,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-3.05023732455515,0.12507374832603005,-0.10841946827599987,0.0002749981236513377,-3.1586567928311498,0.12507405064317345,False,1.0,10.329,0.2772519224152721
4421572142932880000,Gaia DR3 4421572142932880000,229.64873057997198,2.062764989569489,3.8474164921500664,46.77687930343453,2016.0,-0.128134413500788,0.039353687,10.761567,4.195459280278672,-9.910068535048168,11.562177,1.7057009,nan,2.391328,NOT_AVAILABLE,0,4666.6055,1.7802,4023.3477,-0.1422,1.2593,0.9422,0.4963,31,1.3851922,nan,19.63149141082767,nan,-0.1422,nan,-7.804304656951898,2.646566283058312,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.996950324555149,0.12507374832603005,-0.12021960969986013,0.0004881260236057061,-3.117169934255009,0.12507470082849698,False,0.0,nan,-0.010857748952953465
4421572147224120320,Gaia DR3 4421572147224120320,229.64505664137062,2.07058387762415,3.852936404549471,46.784646346019784,2016.0,0.10494069404284453,0.03924265,10.503594,3.7787974326460825,-9.800315979507749,11.613741,1.7245054,nan,2.3577013,VARIABLE,0,nan,nan,nan,nan,nan,nan,nan,31,1.3842589,nan,19.638008249128156,nan,nan,nan,9.529191788952017,4.142769718523603,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.94538632455515,0.12507374832603005,-0.16203863595845514,0.29095477815417237,-3.107424960513605,0.37522819884011915,True,0.0,nan,0.010247827278164322
4421573384179205376,Gaia DR3 4421573384179205376,229.65595969510883,2.1089748093401584,3.906579933843447,46.80025831797726,2016.0,0.13543710314760138,0.016044693,10.738523,4.300750029429437,-9.839685645617186,11.685979,1.6893034,60.085865,1.1498188,NOT_AVAILABLE,0,4399.7,1.342,7879.189,-0.1822,0.9202,0.68,0.3553,31,1.3828104,nan,19.677915413796008,nan,-0.1822,nan,7.383501099474825,0.8871442589724237,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.8731483245551495,0.12507374832603005,-0.221136516,0.0003115033736822981,-3.0942848405551495,0.12507413623397493,False,0.0,nan,-0.018009981342959204
4421574105733508096,Gaia DR3 4421574105733508096,229.7635411129741,2.134197203354105,4.033641329327142,46.732293954073576,2016.0,0.12937469516748723,0.020423412,10.739486,4.071861815171552,-9.93762981315936,11.599787,1.7659321,61.26991,1.2513139,NOT_AVAILABLE,0,4755.678,1.7231,3493.1782,-0.8503,1.5213,1.1426,0.6153,31,1.3747691,nan,19.73155195401071,0.29,-0.8503,-0.0,7.729486811199127,1.2513811917128401,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.95934032455515,0.12507374832603005,-0.09391534823600002,0.00011939462631110898,-3.05325567279115,0.12507380531270285,False,0.0,nan,0.06817931568075657
4421568844393473152,Gaia DR3 4421568844393473152,229.68732028496413,2.0342800928561373,3.850404179606478,46.72897876456863,2016.0,0.10381771976988491,0.020142065,10.76474,3.9985180495028114,-9.99457223908867,11.691133,1.7216568,61.076305,1.1965266,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,31,1.3815402,nan,19.614631778371944,nan,nan,nan,9.63226703703886,1.9418874732312137,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.8679943245551485,0.12507374832603005,-0.15995251618134043,0.29095477815417237,-3.027946840736489,0.37522819884011915,True,0.0,nan,0.03525888013809282
4421478924962333184,Gaia DR3 4421478924962333184,229.60416202523066,2.0527130410915655,3.7951276674919834,46.805219883933916,2016.0,0.11749573156786067,0.017047843,10.632593,3.8001081417591074,-9.930318309567593,11.745838,1.6896219,44.10647,1.0979741,NOT_AVAILABLE,0,4452.666,1.7471,4328.1587,-0.018,0.9265,0.6879,0.3588,31,1.38667,nan,19.609638982625242,0.27,-0.018,nan,8.510947475759504,1.2614372835414764,14.395479397500363,0.03729447406650799,0.1636479270547858,0.11938410582831228,0.23398854775001043,14.55912732455515,0.12507374832603005,0.23694201458174602,-2.81328932455515,0.12507374832603005,-0.19663766705963992,0.0012124068918134556,-3.00992699161479,0.12507962444297,False,0.0,nan,0.011051472023937444
