source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
4421572142932870272,17371287840514994,G,1710.9920763189166,11.461140086227513,490332.5366009033,255.99859834249574,1915.372,false,false,1,375316653866487564
4421572142932870272,17375380119016580,G,1711.0660770332727,11.457451105264823,492001.3616560272,330.8052438075691,1487.284,false,false,4097,375316653866487564
4421572142932870272,23452837991720540,G,1820.9728451980245,11.513246843337566,467356.2011016634,279.04232710678144,1674.8578,false,false,1,375316653866487564
4421572142932870272,23462578841081427,G,1821.1490353165536,11.512205604701435,467804.6182665445,409.65694453977903,1141.9424,false,false,4101,375316653866487564
4421572142932870272,24499572461540730,G,1839.9040321351845,11.485457022555277,479472.75879221485,366.2265960574171,1309.2242,false,false,4097,375316653866487564
4421572142932870272,26216888869492548,G,1870.9637427891419,11.49669354349239,474536.17949973966,781.6591930129724,607.0883,false,false,4097,375316653866487564
4421572142932870272,26226629681116508,G,1871.139936779308,11.49936923580033,473368.17060242355,594.7808113335285,795.86993,false,false,4097,375316653866487564
4421572142932870272,34192811151999696,G,2015.2061582745641,11.523874231827618,462803.94693308574,339.36077959484624,1363.7521,false,false,4198401,375316653866487564
4421572142932870272,34196903441380616,G,2015.28019297979,11.52424087673722,462647.6879236269,651.9822345591643,709.6017,false,false,4097,375316653866487564
4421572142932870272,35464525602104063,G,2038.20250027459,11.535934575426516,457691.57338398404,412.3199496360663,1110.0398,false,false,4097,375316653866487564
4421572142932870272,35468617897664700,G,2038.2764948378008,11.537094743364158,457202.7663544102,485.586070734897,941.54834,false,false,4097,375316653866487564
4421572142932870272,37154464490885901,G,2068.761382061729,11.517762196109004,465416.59912480926,407.14123098820164,1143.133,false,false,4097,375316653866487564
4421572142932870272,44163818513413162,G,2195.521069028424,11.52667771705033,461610.47989476676,1057.9742839792232,436.3154,false,false,4097,375316653866487564
4421572142932870272,44173559294882139,G,2195.6972649958243,11.518269898321133,465199.01607111923,822.7087171458827,565.448,false,false,36869,375316653866487564
4421572142932870272,45500456023779065,G,2219.695651820188,11.51243023018195,467707.84524977824,368.457449856456,1269.3673,false,false,1,375316653866487564
4421572142932870272,45504548310533393,G,2219.7696415468818,11.513221157505235,467367.2577238583,261.9725070071064,1784.0317,false,false,4194305,375316653866487564
4421572142932870272,46979071320540405,G,2246.4381521900937,11.520582914394085,464209.02655135596,326.3077115799788,1422.6112,false,false,4198401,375316653866487564
4421572142932870272,54959033784219205,G,2390.7518720631465,11.573691880767853,442048.5746039735,988.585557272029,447.15256,false,false,4097,375316653866487564
4421572142932870272,54963126059700905,G,2390.8258842027253,11.581246779674633,438983.3364107879,566.0597268172419,775.5071,false,false,4097,375316653866487564
4421572142932870272,56493032179511644,G,2418.4909113530425,11.479567002312955,482080.92306624,554.1758599781898,869.906,false,false,4097,375316653866487564
4421572142932870272,57920795808559378,G,2444.309030014252,11.558971875980586,448082.5141250999,885.415719734767,506.0702,false,false,4097,375316653866487564
4421572142932870272,57930536627083113,G,2444.4851867216926,11.565596430880356,445356.888882251,605.4347142823278,735.5985,false,false,4097,375316653866487564
4421572142932870272,64912223742080500,G,2570.746264622776,11.516489862999096,465962.32289249176,283.4822140705618,1643.7092,false,false,4097,375316653866487564
4421572142932870272,64916316021257531,G,2570.820290777053,11.50339412506784,471616.6149533648,3750.886561032633,125.7347,false,false,544835,375316653866487564
4421572142932870272,67711062487897338,G,2621.366536983465,11.569756976468584,443653.545152498,418.6900461779648,1059.6228,false,false,4097,375316653866487564
4421572142932870272,67720803288245033,G,2621.5427075044113,11.569303850328435,443838.740205439,444.84265655103627,997.7432,false,false,4097,375316653866487564
4421572142932870272,17371287840514994,BP,1710.9923816302262,12.196405994296743,180656.87294446415,221.72144199065164,814.79205,true,false,1024,375316653866487564
4421572142932870272,17375380119016580,BP,1711.066382467765,12.209758631589855,178448.71857981777,237.3030147652399,751.98676,false,false,0,375316653866487564
4421572142932870272,23452837991720540,BP,1820.9731468144284,12.316564866125194,161730.13157561654,201.0604102459149,804.38574,false,false,0,375316653866487564
4421572142932870272,23462578841081427,BP,1821.1493173081892,12.329887535975137,159757.72665960965,195.2451167208404,818.2419,false,false,0,375316653866487564
4421572142932870272,24499572461540730,BP,1839.9043354665762,12.318052906425567,161508.62647096132,209.3389808519697,771.5172,false,false,0,375316653866487564
4421572142932870272,26216888869492548,BP,1870.9640444553004,12.32063931351311,161124.34352911243,221.3697935550036,727.85156,false,false,0,375316653866487564
4421572142932870272,26226629681116508,BP,1871.1402179194756,12.315949726059877,161821.7881598051,197.55784163944182,819.11096,false,false,0,375316653866487564
4421572142932870272,34192811151999696,BP,2015.2064913323177,12.274174680836955,168169.41521361444,196.40916429209344,856.2198,false,false,0,375316653866487564
4421572142932870272,34196903441380616,BP,2015.2804925499777,12.280494738456515,167193.3466325557,203.9360656838379,819.83215,false,false,0,375316653866487564
4421572142932870272,35464525602104063,BP,,,,,,true,true,1024,375316653866487564
4421572142932870272,35468617897664700,BP,,,,,,true,true,1024,375316653866487564
4421572142932870272,37154464490885901,BP,2068.761681276978,12.290509331010437,165658.2823152217,210.75419859637014,786.026,false,false,0,375316653866487564
4421572142932870272,44163818513413162,BP,2195.521382880748,12.34232327525492,157938.34259588586,192.6177899039899,819.9572,false,false,0,375316653866487564
4421572142932870272,44173559294882139,BP,2195.6975535908578,12.360099503370268,155373.54867248918,188.11018853817487,825.97095,false,false,0,375316653866487564
