source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
4421573379883544704,17371288948073038,G,1710.992098705192,11.369714246005385,533409.8712071398,388.6809364879066,1372.3593,false,false,4097,375316653866487564
4421573379883544704,17375381224215326,G,1711.0660876251518,11.36797349316559,534265.7692590102,654.1711874734173,816.70636,false,false,4097,375316653866487564
4421573379883544704,23452837314995219,G,1820.972821027354,11.41531770106695,511469.4122220961,1983.5378437781637,257.85715,false,false,4097,375316653866487564
4421573379883544704,23462578152428558,G,1821.1489917185904,11.4328935889414,503256.40538916894,970.5614649118818,518.5209,false,false,266273,375316653866487564
4421573379883544704,24499571218716220,G,1839.9040120339048,11.387540493939653,524723.5417084105,339.60890159238454,1545.0818,false,false,4097,375316653866487564
4421573379883544704,26216888175072513,G,1870.9637320880356,11.455228787028487,493009.4364931197,358.5512886732611,1375.0039,false,false,4097,375316653866487564
4421573379883544704,26226628987876120,G,1871.1399035912007,11.460293458770435,490715.0336402128,205.56922092093734,2387.1035,false,false,1,375316653866487564
4421573379883544704,34192812432048740,G,2015.2061900561594,11.490176584429824,477393.07296801195,458.14477714269947,1042.0135,false,false,4198401,375316653866487564
4421573379883544704,34196904721953950,G,2015.2802140621534,11.488161857255191,478279.76140510093,393.71744785403104,1214.7792,false,false,4097,375316653866487564
4421573379883544704,35464526177641830,G,2038.2025022052333,11.45121726458944,494834.35169683775,319.10806038089294,1550.6796,false,false,4097,375316653866487564
4421573379883544704,35468618471891747,G,2038.2765097967874,11.450349430458267,495230.0332702362,452.98577363787786,1093.2573,false,false,4097,375316653866487564
4421573379883544704,37150373277218440,G,2068.687404337899,11.439395137692026,500251.8365848371,508.06960032403623,984.6128,false,false,4097,375316653866487564
4421573379883544704,37154465585336734,G,2068.7614007040643,11.437660537790652,501051.6904638096,216.4300896603778,2315.074,false,false,1,375316653866487564
4421573379883544704,44163817939186115,G,2195.521061048436,11.409497306776043,514218.6503060538,3049.064920146434,168.64798,false,false,4097,375316653866487564
4421573379883544704,45500454853300286,G,2219.6956356308024,11.451342303483923,494777.3673415971,539.0140425372139,917.93036,false,false,4097,375316653866487564
4421573379883544704,45504547141240377,G,2219.7696214910006,11.452384945519498,494302.456347128,273.20686178783296,1809.2607,false,false,4194305,375316653866487564
4421573379883544704,46979070514840285,G,2246.438128503017,11.41758382187206,510402.99964328634,315.5258007514936,1617.6268,false,false,4198401,375316653866487564
4421573379883544704,54959035017737585,G,2390.7519082496474,11.392688487841765,522241.46578924695,256.1414114419162,2038.8795,false,false,1,375316653866487564
4421573379883544704,54963127293088216,G,2390.8258943403907,11.404078228799566,516791.61111274926,887.2390149997157,582.4717,false,false,4097,375316653866487564
4421573379883544704,56493032846799783,G,2418.490932161703,11.318755249326639,559042.270419039,529.0639999226429,1056.6628,false,false,4097,375316653866487564
4421573379883544704,56497125133578685,G,2418.5649417062946,11.317601069953634,559636.8698537203,289.9277581868287,1930.2632,false,false,1,375316653866487564
4421573379883544704,57930537735951878,G,2444.485202114819,11.361009162264256,537703.7705717701,250.98507828837452,2142.3735,false,false,1,375316653866487564
4421573379883544704,64912223196689286,G,2570.746245742479,11.417627572919244,510382.43275447114,244.62100619921512,2086.4211,false,false,4097,375316653866487564
4421573379883544704,64916315472851661,G,2570.820258056597,11.416206360481297,511050.95316438354,1375.0040450983417,371.67233,false,false,4097,375316653866487564
4421573379883544704,67711061536838440,G,2621.3665226878443,11.423920820501587,507432.66262300947,534.5750892766677,949.2262,false,false,4097,375316653866487564
4421573379883544704,67720802342822228,G,2621.5426943829866,11.423034075195078,507847.26363539876,392.9712590938439,1292.3268,false,false,4097,375316653866487564
4421573379883544704,17371288948073038,BP,1710.9924013038592,12.287130830252464,166174.5663911106,209.87144173624128,791.7922,false,false,0,375316653866487564
4421573379883544704,17375381224215326,BP,1711.0664021017797,12.288931776520378,165899.15566488332,225.40104292272534,736.0177,false,false,0,375316653866487564
4421573379883544704,23452837314995219,BP,1820.9731359783775,12.377746493616119,152868.60022155868,193.460894604892,790.1783,false,false,0,375316653866487564
4421573379883544704,23462578152428558,BP,1821.149306258383,12.384114405550047,151974.64028173147,187.75754916810786,809.4196,false,false,0,375316653866487564
4421573379883544704,24499571218716220,BP,1839.9043143012516,12.320127083137518,161200.37696562137,211.02853553034103,763.8795,false,false,0,375316653866487564
4421573379883544704,26216888175072513,BP,1870.9640326370247,12.360571155236704,155306.06790778914,213.09830036434963,728.8001,false,false,0,375316653866487564
4421573379883544704,26226628987876120,BP,1871.140206131163,12.436815100827712,144774.09073312566,184.78447793930323,783.4754,false,false,0,375316653866487564
