source_id,designation,ra,dec,l,b,ref_epoch,parallax,parallax_error,pm,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,ruwe,phot_variable_flag,non_single_star,teff_gspphot,logg_gspphot,distance_gspphot,mh_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,astrometric_params_solved,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,alphafe_gspspec,mh_gspphot_1,fem_gspspec
4421572181583919744,Gaia DR3 4421572181583919744,229.65456911964714,2.08278194919682,3.8755182245231263,46.78490421230846,2016.0,nan,0.15247653,11.075941,4.41490373784468,-10.158006916231368,15.216084,0.26441097,nan,2.3906515,NOT_AVAILABLE,0,9997.091,3.3266,14083.04,-1.0885,0.5094,0.4844,0.2595,95,nan,1.8342354,19.65234095177502,nan,-1.0885,nan
4421572181583921536,Gaia DR3 4421572181583921536,229.65457301585712,2.0817132455557954,3.8743067833832026,46.78423039582826,2016.0,nan,0.09339391,9.904119,3.2617113266216773,-9.351620172433522,15.520516,0.24176693,nan,1.7250855,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7248182,19.651314043859085,nan,nan,nan
4421572181583922048,Gaia DR3 4421572181583922048,229.65464235919015,2.0859997875322844,3.8792438590130045,46.78686687094911,2016.0,nan,0.26756692,10.161152,3.513422446971669,-9.534404679672496,15.305496,0.23161602,nan,5.866843,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7593293,19.65545616104788,nan,nan,nan
4421572181585606400,Gaia DR3 4421572181585606400,229.6607973648176,2.081693898153607,3.8799860247981943,46.7793757820182,2016.0,nan,0.77520376,17.073109,7.331810430066213,-15.418677055211575,18.531149,nan,nan,1.3809695,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.2139148,19.65299622649968,nan,nan,nan
4421572181589202048,Gaia DR3 4421572181589202048,229.66450826172127,2.07739053490548,3.8784926543164358,46.77378779602553,2016.0,nan,0.347266,20.693092,8.995412792865555,-18.635627410799582,18.51023,0.7757797,nan,1.5589758,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7524556,19.64987070862904,nan,nan,nan
4421572284662462208,Gaia DR3 4421572284662462208,229.69157725409437,2.0648981606367474,3.8890772552636395,46.744887038102085,2016.0,nan,0.35460818,10.804814,4.423909564790467,-9.857638753567985,19.138683,0.80132484,nan,1.1505,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7924198,19.64524725552028,nan,nan,nan
4421572422101495680,Gaia DR3 4421572422101495680,229.71060994618566,2.0830822608970694,3.9271542493303437,46.741483302062626,2016.0,nan,0.2514312,10.730631,3.5164492676687513,-10.13809750052241,18.59696,0.7705116,nan,1.0335906,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.8142837,19.667935801534203,nan,nan,nan
4421572456461381760,Gaia DR3 4421572456461381760,229.7203507568348,2.0973671963800364,3.952299461823376,46.742857854553236,2016.0,nan,0.333973,10.842027,4.484824543588543,-9.870962210612541,19.298819,0.79208946,nan,1.0054582,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7324461,19.684336403777515,nan,nan,nan
4421572525181202304,Gaia DR3 4421572525181202304,229.68993896693866,2.0964217030737053,3.9234086316324572,46.76593889980629,2016.0,nan,0.307003,9.983614,5.831723490103837,-8.103305333258678,19.09132,nan,nan,1.0631367,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.9117649,19.675123671911876,nan,nan,nan
4421572555249780480,Gaia DR3 4421572555249780480,229.67195106459536,2.085733512721313,3.894792195130795,46.77323251217527,2016.0,nan,0.2610457,10.151606,4.918137935253929,-8.880710800944168,17.835615,0.7582989,nan,1.6306914,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7799492,19.659929211303332,nan,nan,nan
4421572559541046400,Gaia DR3 4421572559541046400,229.66586559431542,2.087362268415281,3.891071881970773,46.77898969124073,2016.0,nan,0.12499228,10.383191,4.115263268286633,-9.532851407980496,nan,nan,nan,1.2706538,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.5248295,19.65983338607751,nan,nan,nan
4421572559542719872,Gaia DR3 4421572559542719872,229.66916499904428,2.080549753154263,3.8863482080414467,46.77214743119426,2016.0,nan,0.38907644,9.851185,4.882665825118028,-8.556016585264295,18.29202,0.71318054,nan,1.6609848,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7550229,19.65418179000297,nan,nan,nan
4421572593900719488,Gaia DR3 4421572593900719488,229.688431378727,2.097614351412115,3.9233852419096156,46.767860339993995,2016.0,nan,0.30942354,11.772255,4.995045301284538,-10.659996044906778,18.900389,0.7358761,nan,1.1728387,NOT_AVAILABLE,0,5951.798,4.67,4539.838,-3.7938,0.0074,0.0063,0.0035,95,nan,1.8643063,19.675859182538343,nan,-3.7938,nan
4421572593900999936,Gaia DR3 4421572593900999936,229.67867649297693,2.099417413311991,3.916508068921641,46.77658361060218,2016.0,nan,0.3934578,11.048975,4.969471483962581,-9.868343864254703,18.703018,0.84778214,nan,1.4766921,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.824171,19.674929141707285,nan,nan,nan
4421572593906306432,Gaia DR3 4421572593906306432,229.68413430662432,2.094625958404367,3.916054859675618,46.769330367333914,2016.0,nan,0.24018624,14.593784,6.145217591081604,-13.236874704884158,18.143024,0.69429207,nan,1.7228858,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7471644,19.671810939947505,nan,nan,nan
4421572696979986560,Gaia DR3 4421572696979986560,229.70025214655476,2.1081549904122676,3.9461865821325963,46.765268709063626,2016.0,nan,0.52278554,16.85115,7.289375628231763,-15.192968813949536,19.089666,0.6823406,nan,1.6581203,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7605197,19.689226742789636,nan,nan,nan
4421572696984382976,Gaia DR3 4421572696984382976,229.68381911035385,2.1067236943466603,3.929523982002424,46.77716343188493,2016.0,nan,0.35039735,12.284717,4.95688399411193,-11.240265136546295,18.724989,0.72319984,nan,1.6699113,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7721672,19.683361924558582,nan,nan,nan
4421572765699774720,Gaia DR3 4421572765699774720,229.617021463726,2.0681949990110193,3.8245204941709794,46.804949018107834,2016.0,nan,0.27142417,10.247528,4.563447004118642,-9.175335081472243,17.838736,nan,nan,1.4091792,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.735899,19.6280465800521,nan,nan,nan
4421572795767868416,Gaia DR3 4421572795767868416,229.62617340552592,2.064537572660226,3.8287553261493006,46.795535085751155,2016.0,nan,0.28651565,9.364197,5.05407707547562,-7.883177296208819,16.971779,0.93497944,nan,3.0632892,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7670139,19.627030944262895,nan,nan,nan
4421572795767879296,Gaia DR3 4421572795767879296,229.63144347159883,2.0674212500720537,3.8368646061780676,46.79324794202357,2016.0,nan,0.078706525,10.734379,4.103252120508885,-9.919183730599357,15.547048,0.3524704,nan,1.3505917,VARIABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7475892,19.631245329071252,nan,nan,nan
4421572800059489920,Gaia DR3 4421572800059489920,229.62623731942415,2.072156185831378,3.837474090783106,46.80027034814752,2016.0,nan,0.40667984,10.745355,5.850072712840426,-9.013283875208117,nan,nan,nan,1.5148405,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.386434,19.63437639888722,nan,nan,nan
4421572800059548800,Gaia DR3 4421572800059548800,229.62787857763664,2.0772119368889084,3.8447265344043906,46.8021688451849,2016.0,nan,0.1199036,10.398085,4.086368567838767,-9.561472763302952,15.117793,0.34963036,nan,2.06053,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.8132044,19.63968798933988,nan,nan,nan
4421572800060908288,Gaia DR3 4421572800060908288,229.62499230865603,2.0642289090947004,3.8273215556596707,46.796259651964654,2016.0,nan,0.27118245,9.677485,3.843612987811955,-8.881461457236156,17.675869,0.91545486,nan,1.7503744,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7774138,19.62641115725274,nan,nan,nan
4421572800063865728,Gaia DR3 4421572800063865728,229.62226313917378,2.068719412380076,3.829923352003293,46.80120242493955,2016.0,nan,0.26055655,11.088113,4.583644499871175,-10.096358502893372,17.184446,0.8748131,nan,3.5620942,NOT_AVAILABLE,0,nan,nan,nan,nan,nan,nan,nan,95,nan,1.7766418,19.629984186924208,nan,nan,nan
