source_id,solution_id,ra,dec,wavelength,flux,flux_error
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,438.0,1.5587654E-16,4.651896E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,440.0,1.6071921E-16,5.320879E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,442.0,1.6140614E-16,5.1439196E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,444.0,1.5921373E-16,4.4858868E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,446.0,1.580131E-16,4.591872E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,448.0,1.6143056E-16,5.1827054E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,450.0,1.7036307E-16,5.2067135E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,452.0,1.8243696E-16,4.735962E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,454.0,1.9304998E-16,4.6274108E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,456.0,1.9778058E-16,5.0155577E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,458.0,1.9547654E-16,5.200969E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,460.0,1.8798677E-16,4.9659245E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,462.0,1.8055931E-16,4.780317E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,464.0,1.786841E-16,4.9625063E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,466.0,1.8566708E-16,5.1807546E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,468.0,2.0228003E-16,5.1447822E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,470.0,2.2441278E-16,4.9982723E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,472.0,2.467057E-16,5.065452E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,474.0,2.6340988E-16,5.2956056E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,476.0,2.7045452E-16,5.383055E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,478.0,2.671178E-16,5.244355E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,480.0,2.5657732E-16,5.119018E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,482.0,2.4306E-16,5.2155756E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,484.0,2.3333987E-16,5.4594576E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,486.0,2.3181243E-16,5.588829E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,488.0,2.423005E-16,5.551371E-17
4421573384179219840,4545469030156206080,229.65018256763994,2.1103797347714903,490.0,2.6537931E-16,5.50917E-17
